date,country,total_vaccinations,people_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,people_fully_vaccinated,people_fully_vaccinated_per_hundred
2021-03-11,USA,98203893.0,64071674.0,29.36,19.16,2482603.0,2233006.0,6677.0,33863127.0,10.13
2021-03-12,Israel,9167184.0,5050480.0,105.91,58.35,52343.0,81146.0,9375.0,4116704.0,47.56
2021-03-12,USA,101128005.0,65965305.0,30.24,19.72,2924112.0,2302844.0,6886.0,35000159.0,10.47
2021-03-13,Israel,9200208.0,5058368.0,106.29,58.44,33024.0,80734.0,9327.0,4141840.0,47.85
2021-03-13,USA,105703501.0,68884011.0,31.61,20.6,4575496.0,2541597.0,7600.0,36929777.0,11.04
2021-03-14,Israel,9294779.0,5079317.0,107.39,58.68,94571.0,79459.0,9180.0,4215462.0,48.7
2021-03-14,USA,107060274.0,69784210.0,32.01,20.87,1356773.0,2386932.0,7137.0,37459269.0,11.2
2021-03-15,USA,109081860.0,71054445.0,32.62,21.25,2021586.0,2427430.0,7258.0,38335432.0,11.46
2021-03-15,Israel,9392532.0,5099260.0,108.51,58.91,97753.0,79119.0,9141.0,4293272.0,49.6
2021-03-16,USA,110737856.0,72135616.0,33.11,21.57,1655996.0,2435037.0,7281.0,39042345.0,11.67
2021-03-16,Israel,9482321.0,5117853.0,109.55,59.13,89789.0,77253.0,8925.0,4364468.0,50.42
2021-03-17,USA,113037627.0,73669956.0,33.8,22.03,2299771.0,2473762.0,7397.0,39989196.0,11.96
2021-03-17,Israel,9558517.0,5135382.0,110.43,59.33,76196.0,76502.0,8839.0,4423135.0,51.1
2021-03-18,USA,115730008.0,75495716.0,34.6,22.57,2692381.0,2503731.0,7486.0,40981464.0,12.25
2021-03-18,Israel,9632268.0,5151312.0,111.28,59.51,73751.0,73918.0,8540.0,4480956.0,51.77
2021-03-19,USA,118313818.0,77230061.0,35.38,23.09,2583810.0,2455116.0,7341.0,41934629.0,12.54
2021-03-19,Israel,9666786.0,5158100.0,111.68,59.59,34518.0,71372.0,8246.0,4508686.0,52.09
2021-03-20,Israel,9687103.0,5163250.0,111.92,59.65,20317.0,69556.0,8036.0,4523853.0,52.27
2021-03-20,USA,121441497.0,79367225.0,36.31,23.73,3127679.0,2248285.0,6723.0,43036818.0,12.87
2021-03-21,USA,124481412.0,81415769.0,37.22,24.34,3039915.0,2488734.0,7441.0,44141228.0,13.2
2021-03-21,Israel,9739025.0,5175980.0,112.52,59.8,51922.0,63464.0,7332.0,4563045.0,52.72
